iteration, nr_elements, global_error, exact_error
3, 203, 0.7998866194571368, 0.9760834167706258
4, 400, 0.404680420379629, 0.48421875940837655
5, 802, 0.23124742967910528, 0.23825892652004269
6, 1591, 0.12688991764228585, 0.11758303031415758
7, 3184, 0.06810620721494433, 0.0586354339885078
8, 6413, 0.033877542137418455, 0.028879546740494925
9, 13086, 0.015452816695590978, 0.014258842145950438
10, 26517, 0.006824611979016337, 0.006925016506530568
11, 53579, 0.0032861071221619354, 0.003399550165787433
1, 59, 1.4040080734993345, 1.9292289989834808
2, 112, 0.8319970621299595, 1.0504992330235214
3, 219, 0.4537544225830291, 0.5191478855640214
4, 413, 0.25457731021634716, 0.2564865833059467
5, 824, 0.1374910414922341, 0.12432979780800373
6, 1635, 0.06787307639312723, 0.06173515674454412
7, 3282, 0.03782206630277567, 0.03026452294882021
8, 6579, 0.017143026075055717, 0.01509088415765817
9, 13268, 0.007999419911825519, 0.007443394346868849
10, 26678, 0.0036640831084753557, 0.0036717555165269172
11, 53988, 0.0017645035829599559, 0.0018027327027303425
12, 108787, 0.001152473474821916, 0.0008926909899174006
13, 217887, 0.001185902341157279, 0.0004460083284301469
14, 383617, 0.0009020676343787988, 0.00029676250337996754
1, 59, 0.4439380311184526, 0.40624580556377443
2, 111, 0.23270056213203147, 0.2121105388760832
3, 209, 0.12631921947304128, 0.11478207409440581
4, 403, 0.06637507400472058, 0.05536719428745997
5, 805, 0.032958748612324736, 0.02895893569501516
6, 1606, 0.01766535026293978, 0.014688315713882752
7, 3220, 0.009412917336304541, 0.007610568086344333
8, 6539, 0.003678996610126576, 0.0035037885967857886
9, 13378, 0.001696327722979395, 0.0017503704753127714
10, 27199, 0.0009245450415439984, 0.00085012827615356
1, 59, 2.692126178720671, 2.853161598037753
2, 119, 1.2259583185402239, 1.4552916535436362
3, 225, 0.6502299048336038, 0.7452274065800786
4, 427, 0.3402915704219381, 0.37915843992027887
5, 840, 0.19294913077535128, 0.18999670768413127
6, 1657, 0.10339446149209162, 0.09569980326341955
7, 3309, 0.056840231291903236, 0.04709747097202978
8, 6566, 0.02831278482885467, 0.02376388884955546
9, 13184, 0.013085053554688838, 0.01198925402538441
10, 26362, 0.005946505357608414, 0.0058882399302287135
11, 52818, 0.002792707901316399, 0.002921010292245746
12, 105643, 0.0015896584343354674, 0.001455701375437173
13, 211354, 0.0013838061201297165, 0.0007273334414583386
14, 410606, 0.0013891127643755894, 0.00037916434977345253
15, 742174, 0.000885905085794688, 0.00030411119402960605
1, 59, 1.3852611324373247, 1.9099720699662472
2, 117, 0.902908768296691, 1.1160862863505971
3, 221, 0.47647344963090393, 0.5667562215730768
4, 410, 0.26055651151899595, 0.28040033239906226
5, 801, 0.1434000868986841, 0.13721799965860412
6, 1573, 0.07212713302116798, 0.06793630324540592
7, 3134, 0.042719720005454154, 0.03420944815856238
8, 6210, 0.01990234343982135, 0.01739624344537132
9, 12551, 0.009308586648467069, 0.008742520782325994
10, 25157, 0.004277448896057654, 0.0043899723955800815
11, 50495, 0.0020472875766762858, 0.0021784605923564917
12, 101421, 0.0012176280259441137, 0.0010715415773288471
13, 203055, 0.001176778948019915, 0.0005266920979611683
14, 365163, 0.0009194428636798904, 0.00030403008676700694
1, 59, 2.711202629040692, 2.5380541235909333
2, 119, 1.1923153321715203, 1.4056303347018004
3, 223, 0.578745004674759, 0.6869521650194322
4, 423, 0.3093323884924081, 0.34733042659151037
5, 838, 0.1732501737288632, 0.17338821822137376
6, 1655, 0.0903309204265494, 0.08584389686804288
7, 3303, 0.051034794977416885, 0.04266124283362542
8, 6526, 0.024809846609501814, 0.021793391082203368
9, 13075, 0.011835260131248013, 0.011028932950485978
10, 26086, 0.005389229085731411, 0.005327636995656249
11, 52141, 0.0025438256052567085, 0.0026341360756253263
12, 104669, 0.0014494917407270867, 0.001308425460581963
13, 209449, 0.0013412677615382692, 0.0006533186628993961
14, 396012, 0.00125455825381738, 0.00035704543969135793
15, 709960, 0.0012817367607496862, 0.001460868510223609
16, 1236503, 0.0005406486798762259, 0.00017107943055087886
1, 59, 1.1136093501232112, 1.1720930018795792
2, 121, 0.5909012985823456, 0.620034600187435
3, 232, 0.29246779314939586, 0.30895361966861873
4, 441, 0.16047452200944823, 0.15397473013515756
